x
17
18
27
23
25
36
19
25
28
15
14
22
30
78
20
24
24
51
32
35
36
47
44
49
42
53
46
70
62
67
41
26
68
39
59
69
35
104
49
57
148
78
53
58
150
138
84
78
127
90
111
85
115
102
125
127
84
119
110
104
142
101
144
146
158
100
124
101
87
113
88
143
123
90
97
107
83
101
106
104
104
121
97
103
64
67
56
57
86
107
101
82
67
78
64
57
68
89
78
66
97
87
91
102
96
72
84
83
104
66
